iter	Passed	Remaining
531	993	874
532	994	871
533	995	869
534	997	866
535	998	864
536	1000	862
537	1002	860
538	1003	858
539	1005	856
540	1006	854
541	1008	852
542	1009	850
543	1011	847
544	1012	845
545	1014	843
546	1015	841
547	1017	839
548	1019	837
549	1020	835
550	1022	832
551	1023	830
552	1024	828
553	1026	826
554	1028	824
555	1029	822
556	1031	820
557	1033	818
558	1033	815
559	1034	813
560	1036	810
561	1037	808
562	1039	806
563	1041	804
564	1042	802
565	1043	800
566	1044	797
567	1046	796
568	1049	795
569	1052	794
570	1055	792
571	1061	794
572	1064	793
573	1067	792
574	1069	790
575	1073	790
576	1075	788
577	1077	786
578	1078	784
579	1080	782
580	1082	780
581	1084	778
582	1086	776
583	1088	775
584	1089	773
585	1092	771
586	1093	769
587	1094	766
588	1095	764
589	1097	762
590	1099	760
591	1100	758
592	1102	756
593	1104	754
594	1105	752
595	1107	750
596	1108	748
597	1110	746
598	1111	744
599	1112	741
600	1113	739
601	1114	736
602	1114	734
603	1115	731
604	1117	729
605	1119	727
606	1120	725
607	1122	723
608	1123	721
609	1124	718
610	1125	716
611	1126	714
612	1128	712
613	1130	710
614	1132	708
615	1133	706
616	1134	704
617	1136	702
618	1137	700
619	1139	698
620	1140	696
621	1142	694
622	1144	692
623	1145	690
624	1147	688
625	1148	686
626	1150	684
627	1152	682
628	1153	680
629	1154	678
630	1156	676
631	1158	674
632	1159	672
633	1161	670
634	1163	668
635	1163	666
636	1165	663
637	1166	661
638	1168	660
639	1170	658
640	1171	656
641	1173	654
642	1174	652
643	1176	650
644	1178	648
645	1179	646
646	1181	644
647	1183	642
648	1184	640
649	1186	638
650	1188	636
651	1189	635
652	1191	633
653	1193	631
654	1194	629
655	1196	627
656	1198	625
657	1200	624
658	1202	622
659	1203	620
660	1205	618
661	1207	616
662	1208	614
663	1210	612
664	1212	610
665	1213	608
666	1215	606
667	1216	604
668	1218	603
669	1220	601
670	1222	599
671	1223	596
672	1224	594
673	1226	592
674	1227	591
675	1229	589
676	1231	587
677	1232	585
678	1236	584
679	1239	583
680	1243	582
681	1248	582
682	1251	580
683	1254	579
684	1259	579
685	1281	586
686	1288	586
687	1290	585
688	1291	582
689	1292	580
690	1293	578
691	1294	576
692	1296	574
693	1297	572
694	1298	569
695	1299	567
696	1301	565
697	1303	563
698	1305	562
699	1306	559
700	1307	557
701	1309	555
702	1310	553
703	1312	551
704	1314	550
705	1315	547
706	1316	545
707	1317	543
708	1318	541
709	1320	539
710	1322	537
711	1323	535
712	1325	533
713	1326	531
714	1327	529
715	1329	527
716	1331	525
717	1333	523
718	1335	522
719	1336	519
720	1338	517
721	1340	516
722	1341	513
723	1342	511
724	1342	509
725	1343	507
726	1344	504
727	1345	502
728	1346	500
729	1347	498
730	1347	495
731	1348	493
732	1349	491
733	1349	489
734	1350	486
735	1351	484
736	1351	482
737	1353	480
738	1354	478
739	1355	476
740	1356	474
741	1358	472
742	1360	470
743	1361	468
744	1363	466
745	1365	464
746	1366	462
747	1367	460
748	1368	458
749	1370	456
750	1372	455
751	1374	453
752	1375	451
753	1376	449
754	1378	447
755	1379	445
756	1381	443
757	1382	441
758	1384	439
759	1385	437
760	1387	435
761	1389	433
762	1390	432
763	1392	430
764	1394	428
765	1395	426
766	1396	424
767	1397	422
768	1399	420
769	1401	418
770	1402	416
771	1404	414
772	1405	412
773	1407	410
774	1408	408
775	1409	406
776	1411	405
777	1412	403
778	1415	401
779	1416	399
780	1418	397
781	1419	395
782	1421	393
783	1422	392
784	1424	390
785	1426	388
786	1427	386
787	1429	384
788	1431	382
789	1432	380
790	1434	379
791	1435	377
792	1437	375
793	1438	373
794	1440	371
795	1442	369
796	1444	367
797	1445	366
798	1447	364
799	1449	362
800	1451	360
801	1452	358
802	1454	356
803	1455	354
804	1457	352
805	1458	351
806	1460	349
807	1462	347
808	1463	345
809	1465	343
810	1466	341
811	1468	339
812	1470	338
813	1471	336
814	1473	334
815	1475	332
816	1476	330
817	1478	328
818	1479	326
819	1481	325
820	1483	323
821	1484	321
822	1485	319
823	1487	317
824	1489	315
825	1491	314
826	1492	312
827	1494	310
828	1495	308
829	1496	306
830	1497	304
831	1499	302
832	1501	301
833	1503	299
834	1504	297
835	1506	295
836	1507	293
837	1508	291
838	1510	289
839	1511	287
840	1513	286
841	1515	284
842	1516	282
843	1518	280
844	1519	278
845	1520	276
846	1522	274
847	1527	273
848	1531	272
849	1551	273
850	1553	272
851	1557	270
852	1559	268
853	1561	266
854	1563	265
855	1565	263
856	1566	261
857	1567	259
858	1568	257
859	1569	255
860	1571	253
861	1573	251
862	1574	249
863	1576	248
864	1577	246
865	1579	244
866	1579	242
867	1581	240
868	1582	238
869	1584	236
870	1585	234
871	1586	232
872	1587	230
873	1589	229
874	1591	227
875	1593	225
876	1595	223
877	1596	221
878	1598	219
879	1599	218
880	1601	216
881	1602	214
882	1604	212
883	1605	210
884	1606	208
885	1608	206
886	1609	205
887	1611	203
888	1613	201
889	1614	199
890	1615	197
891	1616	195
892	1618	193
893	1620	192
894	1622	190
895	1623	188
896	1624	186
897	1626	184
898	1627	182
899	1629	181
900	1630	179
901	1632	177
902	1633	175
903	1634	173
904	1635	171
905	1636	169
906	1638	167
907	1639	166
908	1640	164
909	1641	162
910	1643	160
911	1645	158
912	1646	156
913	1647	155
914	1648	153
915	1650	151
916	1651	149
917	1653	147
918	1654	145
919	1655	143
920	1656	142
921	1657	140
922	1659	138
923	1661	136
924	1663	134
925	1664	133
926	1666	131
927	1667	129
928	1669	127
929	1671	125
930	1673	124
931	1674	122
932	1676	120
933	1677	118
934	1679	116
935	1681	114
936	1682	113
937	1685	111
938	1689	109
939	1692	108
940	1695	106
941	1698	104
942	1701	102
943	1703	101
944	1706	99
945	1709	97
946	1713	95
947	1715	94
948	1718	92
949	1721	90
950	1724	88
951	1727	87
952	1730	85
953	1734	83
954	1742	82
955	1745	80
956	1747	78
957	1750	76
958	1752	74
959	1754	73
960	1757	71
961	1758	69
962	1759	67
963	1760	65
964	1761	63
965	1763	62
966	1765	60
967	1767	58
968	1768	56
969	1770	54
970	1772	52
971	1774	51
972	1776	49
973	1778	47
974	1780	45
975	1782	43
976	1784	42
977	1786	40
978	1787	38
979	1790	36
980	1791	34
981	1793	32
982	1795	31
983	1796	29
984	1798	27
985	1800	25
986	1802	23
987	1803	21
988	1803	20
989	1804	18
990	1805	16
991	1806	14
992	1806	12
993	1807	10
994	1808	9
995	1809	7
996	1810	5
997	1810	3
998	1812	1
999	1813	0
